"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","city"
"20",2014-05-02,275000,3,1.5,1180,10277,1,"0","0","3",1180,NA,1983,"North Bend"
"21",2014-05-02,750000,3,1.75,2240,10578,2,"0","0","5",1550,690,1923,"Seattle"
"22",2014-05-02,435000,4,1,1450,8800,1,"0","0","4",1450,NA,1954,"Bellevue"
"23",2014-05-02,626000,3,2.25,1750,1572,2.5,"0","0","3",1470,280,2005,"Seattle"
"24",2014-05-02,612500,4,2.5,2730,12261,2,"0","0","3",2730,NA,1991,"Bothell"
"25",2014-05-02,495000,4,1.75,1600,6380,1,"0","0","3",1130,470,1959,"Seattle"
"26",2014-05-02,285000,3,2.5,2090,10834,1,"0","0","4",1360,730,1987,"Federal Way"
"27",2014-05-02,615000,3,1.75,2360,7291,1,"0","0","4",1360,1000,1948,"Seattle"
"28",2014-05-02,698000,4,2.25,2200,11250,1.5,"0","0","5",1300,900,1920,"Kirkland"
"29",2014-05-02,675000,5,2.5,2820,67518,2,"0","0","3",2820,NA,1979,"Issaquah"
"30",2014-05-02,790000,3,2.5,2600,4750,1,"0","0","4",1700,900,1951,"Seattle"
"31",2014-05-02,382500,4,1.75,1560,8700,1,"0","0","4",1560,NA,1967,"Kirkland"
"32",2014-05-02,499950,4,2.5,2860,3345,2,"0","0","3",2190,670,2004,"Woodinville"
"33",2014-05-02,650000,4,2,1820,5000,1.5,"0","1","3",1640,180,1945,"Seattle"
"34",2014-05-02,625000,4,2.5,2820,8408,2,"0","0","3",2820,NA,2014,"Shoreline"
"35",2014-05-02,4e+05,4,2.5,3630,42884,1.5,"0","0","3",2300,1330,1979,"Auburn"
"36",2014-05-02,604000,3,2.5,3240,33151,2,"0","2","3",3240,NA,1995,"Federal Way"
"37",2014-05-02,440000,2,1,800,4850,1,"0","0","4",800,NA,1944,"Seattle"
"38",2014-05-02,287200,3,3,1850,19966,1,"0","0","4",1090,760,1992,"Maple Valley"
"39",2014-05-02,403000,3,2,1960,13100,1,"0","2","5",1650,310,1957,"Normandy Park"
"40",2014-05-02,750000,3,2.5,2390,6550,1,"0","2","4",1440,950,1955,"Seattle"
"41",2014-05-02,335000,3,2.25,1580,16215,1,"0","0","4",1580,NA,1978,"Fall City"
"42",2014-05-02,260000,4,2,1480,8625,1,"0","0","4",1480,NA,1974,"Renton"
"43",2014-05-02,308500,2,1,850,6174,1,"0","0","4",850,NA,1950,"Shoreline"
"44",2014-05-02,439950,3,2.5,1770,2875,2,"0","0","3",1770,NA,1990,"Seattle"
"45",2014-05-02,235000,2,1,1210,9400,1,"0","0","2",1210,NA,1949,"Seattle"
"46",2014-05-02,315000,3,1,1160,9180,1,"0","0","3",1160,NA,1968,"Woodinville"
"47",2014-05-02,437500,3,2.25,1970,35100,2,"0","0","4",1970,NA,1977,"Issaquah"
"48",2014-05-02,407500,3,2.5,1930,10460,2,"0","0","3",1930,NA,1996,"Renton"
"49",2014-05-02,445700,3,2.5,1270,1180,3,"0","0","3",1270,NA,2001,"Seattle"
"50",2014-05-02,838000,4,2.5,3310,42998,2,"0","0","3",3310,NA,2001,"Redmond"
"51",2014-05-02,630000,4,2.75,2710,37277,2,"0","0","3",2710,NA,2000,"Issaquah"
"52",2014-05-02,550000,3,1.75,2910,35200,1.5,"0","0","3",2910,NA,1979,"Sammamish"
"53",2014-05-02,805000,3,2,2710,4500,1.5,"0","0","4",1880,830,1929,"Seattle"
"54",2014-05-02,284000,3,1.75,1800,23103,1,"0","0","3",1800,NA,1968,"Carnation"
"55",2014-05-02,470000,5,2.5,2210,9655,1,"0","0","3",1460,750,1976,"Bothell"
"56",2014-05-02,430000,4,1.5,1920,10000,1,"0","0","4",1070,850,1954,"Bellevue"
"57",2014-05-02,491500,4,1.75,2190,125452,1,"0","2","3",2190,NA,1968,"Auburn"
"58",2014-05-02,785000,5,3.25,3660,11995,2,"0","2","3",3660,NA,2006,"Snoqualmie"
"59",2014-05-02,385000,3,3.25,1320,1327,2,"0","0","3",1040,280,2008,"Seattle"
"60",2014-05-02,295000,2,2.5,1630,1368,2,"0","0","3",1280,350,2009,"Seattle"
"61",2014-05-02,555000,4,2.5,3310,6500,2,"0","0","3",3310,NA,2012,"Snoqualmie"
"62",2014-05-02,459990,3,2.5,2680,5539,2,"0","0","3",2680,NA,2013,"North Bend"
"63",2014-05-02,625000,4,3.25,2730,54014,1,"0","0","3",1560,1170,2007,"Renton"
"64",2014-05-02,3e+05,3,2.5,2540,5050,2,"0","0","3",2540,NA,2006,"Kent"
"65",2014-05-03,625000,4,2.75,2920,6605,2,"0","0","3",2920,NA,2012,"Renton"
"66",2014-05-03,553000,2,1,900,5000,1,"0","0","3",900,NA,1944,"Seattle"
"67",2014-05-03,379880,3,2.5,1650,14054,1,"0","0","4",1130,520,1986,"Issaquah"
"68",2014-05-03,310000,3,1,1010,9945,1,"0","0","4",1010,NA,1973,"Snoqualmie"
"69",2014-05-04,775000,2,2.5,2680,7392,1,"0","0","3",2680,NA,2004,"Redmond"
"70",2014-05-04,365000,3,2.5,2200,7350,1,"0","0","5",1570,630,1988,"Renton"
"71",2014-05-04,331950,4,2.5,2530,9933,2,"0","2","3",2010,520,1990,"Auburn"
"72",2014-05-04,783500,3,2.5,2850,7130,2,"0","0","3",1990,860,1980,"Seattle"
"73",2014-05-04,628000,4,2,2280,6010,1,"0","0","3",1140,1140,1900,"Seattle"
"74",2014-05-05,560000,3,2.5,1900,8744,2,"0","0","3",1900,NA,1987,"Sammamish"
"75",2014-05-05,9e+05,3,1,1330,77972,1,"0","0","3",1330,NA,1928,"Kirkland"
"76",2014-05-05,531000,2,3,1270,1175,2,"0","0","3",1110,160,2000,"Seattle"
"77",2014-05-05,831000,4,3,2170,4000,2,"0","0","4",1610,560,1982,"Seattle"
"78",2014-05-05,780000,4,2.5,2730,10281,2,"0","2","3",2730,NA,1996,"Sammamish"
"79",2014-05-05,755000,4,2.5,2120,10202,1,"0","0","4",1620,500,1960,"Bellevue"
"80",2014-05-05,705380,3,2.5,2490,4343,2,"0","0","3",2490,NA,2003,"Issaquah"
"81",2014-05-05,627000,4,2.25,1990,7712,1,"0","0","3",1210,780,1973,"Issaquah"
"82",2014-05-05,865000,4,3,3690,9892,2,"0","0","3",3690,NA,1998,"Sammamish"
"83",2014-05-05,580000,2,1,2540,7000,1,"0","0","5",1320,1220,1942,"Seattle"
"84",2014-05-05,410000,3,2.25,1800,36704,1,"0","0","4",1360,440,1978,"Issaquah"
"85",2014-05-05,485000,4,3,2340,7048,1,"0","0","4",1340,1000,1979,"Kirkland"
"86",2014-05-05,4e+05,2,1.75,2110,9519,1,"0","0","2",2110,NA,1948,"Shoreline"
"87",2014-05-05,549000,2,1,1140,5400,1,"0","0","5",1140,NA,1908,"Seattle"
"88",2014-05-05,620000,3,1.75,1480,2185,2.5,"0","0","3",1480,NA,2005,"Kirkland"
"89",2014-05-05,405000,2,3,1410,1240,2,"0","0","3",1140,270,2006,"Seattle"
"90",2014-05-05,232000,2,1,1200,8063,1,"0","0","4",1200,NA,1958,"Des Moines"
"91",2014-05-05,800866,5,2.5,3180,13806,2,"0","0","4",3180,NA,1990,"Kirkland"
"92",2014-05-05,650000,3,1.5,2160,9000,1,"0","2","4",1400,760,1949,"Seattle"
"93",2014-05-05,823000,6,1.75,2920,5000,2.5,"0","0","4",2780,140,1908,"Seattle"
"94",2014-05-05,770000,3,2,2350,5700,1.5,"0","0","4",1810,540,1939,"Seattle"
"95",2014-05-05,524000,3,1.75,1560,5520,1,"0","0","4",780,780,1944,"Seattle"
"96",2014-05-05,541125,5,2.75,2740,8426,1,"0","0","4",1370,1370,1960,"Bellevue"
"97",2014-05-05,670000,3,2.5,1680,2000,3,"0","0","3",1680,NA,1909,"Seattle"
"98",2014-05-05,384900,5,2.5,3090,12750,1,"0","0","3",1750,1340,1968,"Federal Way"
"99",2014-05-05,406100,3,2.25,1410,1332,3,"0","0","3",1410,NA,2005,"Seattle"
"100",2014-05-05,1395000,5,3.5,4010,8510,2,"0","1","5",2850,1160,1971,"Seattle"
"101",2014-05-05,736500,4,2.5,3180,21904,2,"0","3","3",3180,NA,2000,"Renton"
"102",2014-05-05,570000,3,2.25,2010,6000,1,"0","0","3",1330,680,1975,"Redmond"
"103",2014-05-05,787000,3,1.75,1330,7500,1,"0","0","3",1330,NA,1961,"Bellevue"
"104",2014-05-05,328000,4,2.5,2370,6500,2,"0","0","3",2370,NA,1998,"Auburn"
"105",2014-05-05,435000,5,2,1840,9240,1,"0","0","4",1540,300,1942,"Seattle"
"106",2014-05-05,499000,4,2.5,2910,6479,2,"0","0","3",2910,NA,2006,"Snoqualmie"
"107",2014-05-05,501000,4,1,2070,7519,1,"0","0","3",1160,910,1963,"Bellevue"
"108",2014-05-05,1090000,4,2.5,4340,141570,2.5,"0","0","3",4340,NA,1992,"Redmond"
"109",2014-05-05,4e+05,2,1,840,5510,1,"0","0","3",840,NA,1955,"Seattle"
"110",2014-05-05,220000,4,1.5,1240,9600,1,"0","0","3",1240,NA,1971,"Federal Way"
"111",2014-05-05,657100,4,1,1390,4240,1,"0","0","3",1050,340,1924,"Seattle"
"112",2014-05-05,309950,4,2.75,2310,5000,2,"0","0","3",2310,NA,2006,"Maple Valley"
"113",2014-05-05,3e+05,3,2,1050,10072,1,"0","0","3",1050,NA,1986,"Duvall"
"114",2014-05-05,525888,5,1.75,2550,71874,1,"0","0","5",1810,740,1960,"Issaquah"
"115",2014-05-05,740000,4,1.75,2010,3600,1.5,"0","0","3",2010,NA,1902,"Seattle"
"116",2014-05-05,340000,5,1,1120,9022,1.5,"0","0","4",1120,NA,1962,"Kirkland"
"117",2014-05-05,398750,3,2.5,2230,4000,2,"0","0","3",2230,NA,1954,"Seattle"
"118",2014-05-05,206000,2,1,810,7158,1,"0","0","5",810,NA,1944,"Burien"
"119",2014-05-05,1030000,5,2.75,3190,16920,1,"0","3","3",1690,1500,1976,"Bellevue"
"120",2014-05-05,6e+05,3,1.75,1670,39639,1,"0","0","4",1670,NA,1976,"Sammamish"
"121",2014-05-05,379950,4,1.75,1970,9389,1,"0","0","5",1140,830,1960,"Shoreline"
"122",2014-05-05,287000,3,1,1450,6000,1,"0","0","4",1450,NA,1953,"Seattle"
"123",2014-05-05,2280000,7,NA,13540,307752,3,"0","4","3",9410,4130,1999,"Redmond"
"124",2014-05-05,309950,3,2.5,1880,7838,2,"0","0","3",1880,NA,1994,"Renton"
"125",2014-05-05,6e+05,3,1.75,1880,6360,1,"0","0","4",1040,840,1945,"Seattle"
"126",2014-05-05,418000,3,2,1410,6030,1.5,"0","0","4",1410,NA,1930,"Seattle"
"127",2014-05-05,449250,4,2,1480,3844,1.5,"0","0","5",1480,NA,1928,"Seattle"
"128",2014-05-05,329950,2,1,1140,5250,1.5,"0","0","4",1140,NA,1949,"Seattle"
"129",2014-05-05,245000,3,1.75,1920,9306,1,"0","0","3",1000,920,1984,"Auburn"
"130",2014-05-05,549000,4,2.5,2910,6338,2,"0","0","3",2910,NA,2008,"Renton"
"131",2014-05-05,8e+05,3,2.5,3240,7857,2,"0","0","3",3240,NA,1994,"Sammamish"
"132",2014-05-05,249950,3,2,1550,15040,1,"0","0","4",1550,NA,1958,"Renton"
"133",2014-05-05,210000,5,2,2050,10200,1,"0","0","3",1430,620,1956,"Des Moines"
"134",2014-05-05,1425000,2,2.5,2220,4000,2,"0","0","3",2220,NA,2000,"Seattle"
"135",2014-05-05,585000,2,1,1770,8640,1.5,"0","0","3",1520,250,1949,"Seattle"
"136",2014-05-05,615000,4,1.75,2300,11700,1,"0","0","4",1960,340,1977,"Redmond"
"137",2014-05-05,618500,3,2,1800,5000,1,"0","0","4",1080,720,1942,"Seattle"
"138",2014-05-05,487585,4,1.75,2010,9211,1,"0","0","3",1470,540,1977,"Kirkland"
"139",2014-05-05,509900,3,2.5,1790,2700,2,"0","0","3",1790,NA,2010,"Issaquah"
"140",2014-05-05,631625,4,2.5,2440,6651,2,"0","0","3",2440,NA,2014,"Seattle"
"141",2014-05-05,555000,3,2.5,1940,3211,2,"0","0","3",1940,NA,2009,"Issaquah"
"142",2014-05-05,340000,2,1.5,1160,1438,2,"0","0","3",1160,NA,2001,"Seattle"
"143",2014-05-05,830000,4,2.5,3400,9692,2,"0","0","3",3400,NA,2007,"Redmond"
"144",2014-05-05,890000,4,4.25,4420,5750,2,"0","0","3",3410,1010,2006,"Issaquah"
"145",2014-05-05,366750,3,3,1571,2017,3,"0","0","3",1571,NA,2008,"Seattle"
"146",2014-05-05,415000,3,2.25,1620,998,2.5,"0","0","3",1540,80,2010,"Issaquah"
"147",2014-05-05,416286,3,2.5,1408,989,3,"0","0","3",1408,NA,2005,"Seattle"
"148",2014-05-05,478000,3,2.5,3040,4535,2,"0","0","3",3040,NA,2007,"Renton"
"149",2014-05-05,890000,5,3.5,4490,6000,2,"0","0","3",3200,1290,2006,"Issaquah"
"150",2014-05-05,419190,2,2.5,1590,1426,2,"0","0","3",1590,NA,2014,"Issaquah"
"151",2014-05-05,712198,4,2.5,2450,4247,2,"0","0","3",2450,NA,2013,"Redmond"
"152",2014-05-06,397000,4,2,1440,7680,1,"0","0","3",1200,240,1971,"Kirkland"
"153",2014-05-06,450000,2,2,1100,3000,1.5,"0","0","3",1100,NA,1912,"Seattle"
"154",2014-05-06,353000,3,1,1350,7740,1,"0","0","4",860,490,1947,"Seattle"
"155",2014-05-06,609000,4,2.5,2150,37981,2,"0","0","3",2150,NA,1985,"Redmond"
"156",2014-05-06,234000,3,1.75,1490,8366,1,"0","0","4",1010,480,1975,"Covington"
"157",2014-05-06,561000,3,2,2000,7000,2,"0","0","3",2000,NA,1916,"Seattle"
"158",2014-05-06,469000,2,1,1030,4400,1,"0","0","3",1030,NA,1924,"Seattle"
"159",2014-05-06,329350,2,1,720,6687,1,"0","0","3",720,NA,1942,"Seattle"
"160",2014-05-06,488000,5,2,2020,5000,1.5,"0","0","4",2020,NA,1938,"Seattle"
"161",2014-05-06,279900,3,1.75,1580,8151,1,"0","1","4",1100,480,1962,"Des Moines"
"162",2014-05-06,606000,4,2.5,2110,13850,2,"0","0","3",2110,NA,1987,"Issaquah"
"163",2014-05-06,312000,4,2,1300,7054,1,"0","0","3",1300,NA,1950,"Seattle"
"164",2014-05-06,650000,3,1.5,1630,7475,1,"0","1","3",1160,470,1940,"Seattle"
"165",2014-05-06,1135000,4,2.75,3370,8103,1,"0","3","3",1970,1400,1970,"Seattle"
"166",2014-05-06,325000,4,2.5,1890,6156,1,"0","0","3",980,910,1980,"Seattle"
"167",2014-05-06,425000,4,2,1520,7983,1,"0","0","5",1520,NA,1967,"Inglewood-Finn Hill"
"168",2014-05-06,219000,2,1,900,5160,1,"0","0","3",900,NA,1952,"Seattle"
"169",2014-05-06,250000,3,1,1050,6874,1,"0","0","3",1050,NA,1954,"Shoreline"
"170",2014-05-06,390000,3,1.75,1260,6500,1,"0","0","4",1260,NA,1966,"Bellevue"
"171",2014-05-06,475000,6,3,3470,117612,1.5,"0","0","3",3470,NA,1924,"Kenmore"
"172",2014-05-06,736000,4,2.5,2290,12047,2,"0","0","4",2290,NA,1988,"Bellevue"
"173",2014-05-06,407000,4,2.25,2810,23400,1,"0","1","3",1710,1100,1958,"Des Moines"
"174",2014-05-06,272000,3,2.5,1650,13816,2,"0","0","3",1650,NA,1998,"Carnation"
"175",2014-05-06,362000,3,2.25,1640,14374,1,"0","0","4",1140,500,1963,"Burien"
"176",2014-05-06,535000,3,2.5,1850,10109,2,"0","0","3",1850,NA,1991,"Kirkland"
"177",2014-05-06,284000,4,2.5,2000,5390,2,"0","0","3",2000,NA,2003,"Kent"
"178",2014-05-06,367500,3,1.5,1410,9647,1,"0","0","3",1410,NA,1961,"Shoreline"
"179",2014-05-06,379900,4,1.75,1500,11600,1,"0","0","4",1000,500,1955,"Kenmore"
"180",2014-05-06,520000,3,2.5,2460,54885,2,"0","0","4",2460,NA,1980,"Renton"
"181",2014-05-06,175000,3,1,1010,7034,1,"0","0","3",1010,NA,1954,"Renton"
"182",2014-05-06,460000,2,2.25,1230,929,2,"0","0","3",1020,210,2004,"Seattle"
"183",2014-05-06,345000,4,2.5,2331,3826,2,"0","0","3",2331,NA,2007,"Renton"
"184",2014-05-06,455000,5,2.5,2240,7770,1,"0","0","3",1340,900,1978,"Kirkland"
"185",2014-05-06,610000,4,3,2450,10117,1,"0","0","5",1580,870,1967,"Bellevue"
"186",2014-05-06,563000,4,3,3100,15480,2,"0","0","3",2400,700,1996,"Kenmore"
"187",2014-05-06,612500,4,2,2060,5000,1,"0","0","3",1030,1030,1949,"Seattle"
"188",2014-05-06,218000,3,1.75,1850,7684,1,"0","0","3",1320,530,1979,"Federal Way"
"189",2014-05-06,404000,4,1.75,1840,10720,1,"0","0","3",960,880,1958,"Bellevue"
"190",2014-05-06,860000,4,2,3740,32417,2,"0","0","3",3740,NA,2000,"Redmond"
"191",2014-05-06,136500,3,1.5,1420,8580,1,"0","0","3",1420,NA,1962,"Federal Way"
"192",2014-05-06,313950,3,1,1510,6083,1,"0","0","4",860,650,1940,"Seattle"
"193",2014-05-06,575000,3,1.75,2130,6500,1,"0","2","3",1170,960,1954,"Seattle"
"194",2014-05-06,1225000,4,2.25,3490,6906,2,"0","0","4",2280,1210,1928,"Seattle"
"195",2014-05-06,280000,3,1.75,1630,11800,1,"0","0","4",1630,NA,1971,"North Bend"
"196",2014-05-06,515000,3,2.5,1790,7167,2,"0","0","3",1790,NA,1989,"Sammamish"
"197",2014-05-06,513000,4,2.5,2000,5684,2,"0","0","3",2000,NA,1996,"Kenmore"
"198",2014-05-06,599000,4,2.25,2260,29930,2,"0","0","4",1400,860,1977,"Bellevue"
"199",2014-05-06,685000,4,2.5,3030,7864,2,"0","0","3",3030,NA,1999,"Sammamish"
"200",2014-05-06,365000,3,1.5,1310,8160,1,"0","0","3",1310,NA,1950,"Seattle"
"201",2014-05-06,762300,4,2.5,3880,14550,2,"0","0","3",3880,NA,1987,"Sammamish"
"202",2014-05-06,1580000,4,3.25,3760,10920,1.5,"0","0","5",2400,1360,1950,"Seattle"
"203",2014-05-06,562000,5,2.25,3040,8111,2,"0","0","3",3040,NA,1984,"Redmond"
"204",2014-05-06,530000,5,2.5,2910,9636,1,"0","0","4",1690,1220,1964,"Bellevue"
"205",2014-05-06,525000,3,2.5,2970,11985,1,"0","0","3",1770,1200,1995,"Sammamish"
"206",2014-05-06,484000,2,1.75,1660,6000,1,"0","0","3",1160,500,1942,"Seattle"
"207",2014-05-06,725126,4,2.5,3200,12369,2,"0","0","3",3200,NA,1998,"Newcastle"
"208",2014-05-06,360000,4,2,2680,18768,1,"0","0","5",2680,NA,1965,"Auburn"
"209",2014-05-06,387000,3,1,1230,9568,1,"0","0","5",1230,NA,1962,"Newcastle"
"210",2014-05-06,483500,4,2.5,2740,45732,2,"0","0","3",2740,NA,1995,"Woodinville"
"211",2014-05-06,655500,4,3.5,3380,8330,2,"0","0","3",3380,NA,2000,"Shoreline"
"212",2014-05-06,345000,3,1,1110,6250,1,"0","0","3",1110,NA,1956,"Seattle"
"213",2014-05-06,533000,5,2.75,1800,3780,1.5,"0","0","3",1400,400,1926,"Seattle"
"214",2014-05-06,385000,3,1.75,1900,5520,1,"0","0","3",1280,620,1982,"Seattle"
"215",2014-05-06,675000,2,1,930,36478,1,"0","2","3",930,NA,1951,"Bellevue"
"216",2014-05-06,197000,3,1.75,1690,7735,1,"0","0","4",1060,630,1976,"Auburn"
"217",2014-05-06,485000,3,2,1420,4080,1.5,"0","0","3",1420,NA,1905,"Seattle"
"218",2014-05-06,1870000,5,4,4510,15175,2,"0","0","3",4510,NA,1969,"Mercer Island"
"219",2014-05-06,295000,3,2.25,1980,8000,1,"0","0","4",1560,420,1974,"Federal Way"
"220",2014-05-06,499000,2,1.75,1170,2400,1,"0","0","4",740,430,1903,"Seattle"
"221",2014-05-06,1050000,3,2.5,2200,1970,2,"0","0","3",1610,590,2008,"Seattle"
"222",2014-05-06,191000,3,1.5,800,8850,1,"0","0","4",800,NA,1959,"Federal Way"
"223",2014-05-06,5e+05,3,2.5,1480,1171,3,"0","0","3",1480,NA,2006,"Seattle"
"224",2014-05-06,390000,5,3.75,2890,5000,1,"0","0","3",1310,1580,2006,"Seattle"
"225",2014-05-06,979000,3,2.5,2690,4047,3,"0","0","3",2690,NA,2014,"Seattle"
"226",2014-05-06,580000,4,3.25,3569,8327,2,"0","0","3",3569,NA,2013,"Renton"
"227",2014-05-06,369950,3,2,1270,1320,3,"0","0","3",1270,NA,2006,"Seattle"
"228",2014-05-06,1800000,5,5,4490,10279,2,"0","0","3",3930,560,2013,"Bellevue"
"229",2014-05-06,776000,4,2.5,3040,6425,2,"0","0","3",3040,NA,2008,"Redmond"
"230",2014-05-07,519950,3,2.25,1170,1249,3,"0","0","3",1170,NA,2014,"Seattle"
"231",2014-05-07,255000,5,2.25,2060,8632,1,"0","0","3",1030,1030,1962,"Burien"
"232",2014-05-07,495000,3,1,990,6000,1,"0","0","3",990,NA,1943,"Seattle"
"233",2014-05-07,510000,4,2.5,2430,5203,2,"0","0","3",2430,NA,2003,"Shoreline"
"234",2014-05-07,1150000,4,4,4460,103382,2,"0","0","3",4460,NA,2001,"Redmond"
"235",2014-05-07,253000,3,1.75,1250,10122,1,"0","0","3",1250,NA,1994,"Black Diamond"
"236",2014-05-07,503000,3,2.75,1540,6760,1,"0","0","5",1210,330,1980,"Kirkland"
"237",2014-05-07,275000,3,2.5,1600,7000,2,"0","0","4",1600,NA,1993,"Maple Valley"
"238",2014-05-07,249000,3,1,1110,8423,1,"0","0","3",1110,NA,1952,"Burien"
"239",2014-05-07,310000,3,1.75,1840,10723,1,"0","0","4",1220,620,1974,"Renton"
"240",2014-05-07,750000,3,2.75,2520,5401,1,"0","0","4",1360,1160,1946,"Seattle"
"241",2014-05-07,630000,3,2.5,2680,327135,2,"0","0","3",2680,NA,1995,"Ravensdale"
"242",2014-05-07,599999,NA,4.5,3830,6988,2.5,"0","0","3",2450,1380,1938,"Seattle"
"243",2014-05-07,758000,4,2.75,2410,9549,1,"0","0","4",1780,630,1956,"Kirkland"
"244",2014-05-07,248500,4,1.75,1720,10018,1,"0","0","5",1720,NA,1960,"Covington"
"245",2014-05-07,310000,3,1.75,2070,37904,1,"0","0","4",1420,650,1973,"Kent"
"246",2014-05-07,460000,3,2,1760,9055,2,"0","0","4",1760,NA,1985,"Redmond"
"247",2014-05-07,675000,3,1.75,1680,10500,1,"0","0","4",1680,NA,1959,"Bellevue"
"248",2014-05-07,526000,2,2,1550,2400,1.5,"0","0","4",1550,NA,1900,"Seattle"
"249",2014-05-07,560000,3,3,4120,60392,2,"0","2","3",3180,940,1994,"Carnation"
"250",2014-05-07,415000,4,3,1830,9548,2,"0","0","3",1830,NA,1991,"Bothell"
"251",2014-05-07,246000,3,1,1400,7410,1,"0","0","3",1400,NA,1944,"Burien"
"252",2014-05-07,314500,3,1.75,1870,12381,1,"0","0","4",1870,NA,1957,"Federal Way"
"253",2014-05-07,3200000,7,4.5,6210,8856,2.5,"0","2","5",4760,1450,1910,"Seattle"
"254",2014-05-07,420000,2,1.5,1040,3500,1.5,"0","0","4",1040,NA,1904,"Seattle"
"255",2014-05-07,535000,3,1.75,2720,149410,1.5,"0","0","3",2720,NA,1988,"Carnation"
"256",2014-05-07,350000,3,1,1010,9360,1,"0","0","3",1010,NA,1981,"Kirkland"
"257",2014-05-07,515000,3,1.75,1580,9147,1,"0","1","4",1210,370,1967,"Bellevue"
"258",2014-05-07,749950,4,2.75,2600,6050,2,"0","0","5",1960,640,1949,"Seattle"
"259",2014-05-07,230000,3,2.5,1920,9180,2,"0","0","3",1920,NA,1988,"Renton"
"260",2014-05-07,568000,3,2,2350,5080,1.5,"0","0","3",1780,570,1929,"Seattle"
"261",2014-05-07,250000,1,1,1100,4373,1,"0","0","2",820,280,1947,"Burien"
"262",2014-05-07,581000,4,2,2510,13695,1,"0","0","4",1280,1230,1961,"Kirkland"
"263",2014-05-07,651000,3,2.5,3240,108366,2,"0","0","4",3240,NA,1991,"Kent"
"264",2014-05-07,6e+05,3,2.5,2460,108900,1,"0","0","4",1860,600,1977,"Issaquah"
"265",2014-05-07,5e+05,2,1,1010,3885,1.5,"0","0","4",1010,NA,1906,"Seattle"
"266",2014-05-07,475000,2,1,820,2723,1,"0","0","3",820,NA,1921,"Seattle"
"267",2014-05-07,352000,5,2.5,2420,8560,1,"0","2","3",1620,800,1978,"Seattle"
"268",2014-05-07,420000,3,2.25,1770,8165,2,"0","0","3",1770,NA,1977,"Kirkland"
"269",2014-05-07,428000,2,2,1350,3900,1,"0","0","3",1350,NA,2003,"Redmond"
"270",2014-05-07,599000,3,1.75,1960,4788,1,"0","0","4",1090,870,1920,"Seattle"
"271",2014-05-07,492000,4,2.5,3305,16164,1.5,"0","0","5",2245,1060,1922,"Shoreline"
"272",2014-05-07,630000,2,2.25,2550,5663,1,"0","0","3",1720,830,2011,"Renton"
"273",2014-05-07,9e+05,5,3.75,4130,226076,2,"0","0","3",3170,960,1985,"Woodinville"
"274",2014-05-07,1110000,4,1.5,2310,13300,1,"0","0","3",1890,420,1950,"Clyde Hill"
"275",2014-05-07,575000,4,2,1650,5000,1,"0","0","3",1650,NA,1955,"Seattle"
"276",2014-05-07,705000,4,2.5,2650,4316,1.5,"0","0","3",1520,1130,1905,"Seattle"
"277",2014-05-07,940000,4,2.25,1890,5940,1,"0","1","3",1470,420,1963,"Seattle"
"278",2014-05-07,313000,3,1.75,2190,8000,1,"0","0","4",2190,NA,1967,"Federal Way"
